console,game,rank,publisher,critic_score,units_sold,release_date
GBA,Harry Potter and the Sorcerer's Stone,32,Electronic Arts,6.6,,2001-11-15
GBA,Dragon Ball Z: The Legacy of Goku,33,Infogrames,6.5,,2002-05-14
GBA,"Monsters, Inc.",34,THQ,,,2001-10-25
GBA,Golden Sun,35,Nintendo,9.1,1650000.0,2001-11-11
GBA,Kingdom Hearts: Chain of Memories,36,Square Enix,7.4,1600000.0,2004-12-07
GBA,Metroid Fusion,37,Nintendo,9.0,1600000.0,2002-11-17
GBA,Spyro 2: Season of Flame,38,Vivendi Games,,,2002-09-25
GBA,Disney Princess,39,THQ,,,2003-04-04
GBA,Kirby & the Amazing Mirror,40,Nintendo,7.9,1470000.0,2004-10-18
GBA,The SpongeBob SquarePants Movie,41,THQ,,,2004-10-27
GBA,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,42,Konami,,1460000.0,2003-04-08
GBA,Classic NES Series: Super Mario Bros.,43,Nintendo,,,2004-06-02
GBA,Sonic Advance 3,44,THQ,,,2004-06-07
GBA,Mario vs. Donkey Kong,45,Nintendo,,1370000.0,2004-05-24
GBA,Pokémon Pinball: Ruby & Sapphire (Old all region sales),46,Nintendo,,1370000.0,2003-08-26
GBA,Crash Bandicoot 2: N-Tranced,47,Vivendi Games,7.5,,2003-01-07
GBA,Mega Man Battle Network 4: Red Sun / Blue Moon,48,Capcom,,1350000.0,2004-06-29
GBA,Spider-Man: The Movie,49,Activision,7.9,,2002-04-16
GBA,The Sims: Bustin' Out,50,Electronic Arts,,,2003-12-02
GBA,Yu-Gi-Oh! The Sacred Cards,51,Konami,,,2003-11-04
GBA,Mega Man Battle Network 3 Blue / White Version,52,Capcom,,,2003-06-24
GBA,Pirates of the Caribbean: The Curse of the Black Pearl,53,TDK Mediactive,,,2003-07-01
GBA,Spongebob Squarepants: Battle for Bikini Bottom,54,THQ,,,2003-10-31
GBA,Yu-Gi-Oh! The Eternal Duelist Soul,55,Konami,,1230000.0,2002-10-15
GBA,Donkey Kong Country 2,56,Nintendo,7.6,,2004-11-15
GBA,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,57,Majesco,,,2007-10-09
GBA,The Simpsons: Road Rage,58,THQ,,,2003-06-30
