Pos,Game,Game.1,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Unnamed: 11_level_2,Console_Scraped
148,Bloodstained: Curse of the Moon,Bloodstained: Curse of the Moon Read the review,,Inti Creates,7.0,,,0.30m,24th May 18,05th Jun 18,,NS
149,Master Detective Archives: Rain Code,Master Detective Archives: Rain Code,,Spike Chunsoft,,,,0.30m,30th Jun 23,04th Aug 23,,NS
150,Just Dance 2017,Just Dance 2017,,Ubisoft,,6.5,,,03rd Mar 17,06th Apr 18,,NS
151,Overcooked! 2,Overcooked! 2 Read the review,,Sold Out,8.0,8.4,,,07th Aug 18,14th Jun 18,,NS
152,The Binding of Isaac: Afterbirth+,The Binding of Isaac: Afterbirth+,,Nicalis,,9.0,,,17th Mar 17,18th Jan 18,,NS
153,Carnival Games,Carnival Games,,2K Games,,,,,06th Nov 18,22nd Sep 18,,NS
154,The World Ends with You: Final Remix,The World Ends with You: Final Remix,,Nintendo,,7.4,,,12th Oct 18,30th Mar 19,,NS
155,My Hero One's Justice,My Hero One's Justice,,Bandai Namco Entertainment,,,,,26th Oct 18,12th Sep 18,,NS
156,Mega Man Legacy Collection 1+2,Mega Man Legacy Collection 1+2,,Capcom,,8.5,,,22nd May 18,04th Jul 18,,NS
157,Sid Meier's Civilization VI,Sid Meier's Civilization VI,,2K Games,,9.4,,,16th Nov 18,19th Dec 18,,NS
158,Hollow Knight,Hollow Knight,,Team Cherry,,,10.0,0.25m,12th Jun 18,01st Dec 18,,NS
159,Kamiko,Kamiko,,Flyhigh Works,,,,0.25m,27th Apr 17,16th Jan 18,,NS
160,Hello Neighbor,Hello Neighbor,,Gearbox Software,,,,,27th Jul 18,06th Nov 18,,NS
161,WWE 2K18,WWE 2K18,,2K Sports,,,,,05th Dec 17,,,NS
162,Attack on Titan 2,Attack on Titan 2,,Koei Tecmo,,7.0,,,20th Mar 18,30th Mar 18,,NS
163,Skylanders Imaginators,Skylanders Imaginators,,Activision,,6.9,,,03rd Mar 17,26th Mar 18,,NS
